title,genres,poster,description,rating,release
India's Most Wanted (film),Action|Thriller,https://upload.wikimedia.org/wikipedia/en/a/ae/India%27s_Most_Wanted_poster.jpg,India's Most Wanted is a Bollywood action thriller film directed by Raj Kumar Gupta and starring Arjun Kapoor. The film is about tracking a terrorist in a secret mission and arresting him without firing bullets. It pays tribute to unsung heroes of our society.,4.4,24-05-2019
Yeh Hai India,Action|Adventure|Drama,https://upload.wikimedia.org/wikipedia/en/thumb/d/db/Yeh_Hai_India_Official_Poster.jpg/220px-Yeh_Hai_India_Official_Poster.jpg,"Yeh Hai India  follows the story of a 25 years old NRI  who is born and brought up in U.K and shares the same stereotype views of India  which is known for its vast population  pollution and poverty. However protagonist finds new development in media or probably an 'other side of same coin' of India  which is also known for successful mars mission in first attempt  a nation which proudly holds title 'God of Cricket' for Sachin Tendulkar  who is again an Indian and a nation which is known for its holy generosity with icons like Mother Teresa"".",5.7,24-05-2019
Khamoshi (2019 film),Horror|Thriller,https://upload.wikimedia.org/wikipedia/en/e/ef/Khamoshi_2019.jpg,A remake of an English movie Hush (2016)  where a deaf and mute girl must fight for her life when a killer appears at her door.,3.7,14-06-2019
Kabir Singh,Drama|Romance,https://upload.wikimedia.org/wikipedia/en/thumb/d/dc/Kabir_Singh.jpg/220px-Kabir_Singh.jpg,This Sandeep Vanga directorial is a remake of the 2017 Telugu movie Arjun Reddy. The plot revolves around an alcoholic surgeon battling temper issues. Things get worse as he watches the love of his life marry another man. High on emotions coupled with impressive action the film promises an intense watch.,7.2,20-06-2019
Article 15 (film),Crime|Drama,https://upload.wikimedia.org/wikipedia/en/thumb/1/11/Article_15_Poster.jpg/220px-Article_15_Poster.jpg,In the rural heartlands of India  an upright police officer sets out on a crusade against violent caste-based crimes and discrimination.,8.3,28-06-2019
One Day: Justice Delivered,Action|Crime|Thriller,https://upload.wikimedia.org/wikipedia/en/f/f7/One_Day-_Justice_Delivered.jpg,A Crime Branch Special Officer Investigates the Serial disappearance of high profile individuals in a state capital.,6.8,05-07-2019
Hume Tumse Pyaar Kitna,Action|Drama|Romance,https://upload.wikimedia.org/wikipedia/en/thumb/2/2c/Hume_Tumse_Pyaar_Kitna.jpg/220px-Hume_Tumse_Pyaar_Kitna.jpg,It is about limerence of Dhruv (played by Bohra) resulting from an obsessive attraction to Ananya (played by Banerjee).,7.4,05-07-2019
Super 30 (film),Biography|Drama,https://upload.wikimedia.org/wikipedia/en/thumb/2/29/Super_30_The_Film.jpg/220px-Super_30_The_Film.jpg,Anand Kumar  a Mathematics genius from a modest family in Bihar who is made to believe that only a King's son can become a king is on a mission to prove that even the poor man can create some of the world's most genius minds. He starts a training program named 'Super 30' to help 30 IIT aspirants crack the entrance test and make them highly successful professionals.,8.2,12-07-2019
Family of Thakurganj,Action|Drama,https://upload.wikimedia.org/wikipedia/en/9/99/Family_of_Thakurganj.jpg,The film is based on small town of North India. Film's story is about confrontation of love and thoughts. Along with entertainment.,9.4,19-07-2019
Batla House,Action|Drama|Thriller,https://upload.wikimedia.org/wikipedia/en/e/ed/Batla_House_poster.jpg,This action thriller is based on the real-life incident of 'Batla House Encounter'  officially known as Operation Batla House  to the silver screen. The incident took place on September 19  2008  against Indian Mujahideen (IM) terrorists in Batla House locality in Jamia Nagar  Delhi.,7.3,15-08-2019
Jhootha Kahin Ka,Comedy,https://upload.wikimedia.org/wikipedia/en/a/a6/Jhootha_Kahin_Ka_Poster.jpg,Two boys go to Mauritius to study and love it so much there  that they are reluctant to return home. Rishi plays Omkar's dad who turns up from the village to surprise him and is in turn surprised by his son's lifestyle.,4.8,19-07-2019
Judgementall Hai Kya,Comedy|Drama|Thriller,https://upload.wikimedia.org/wikipedia/en/c/c8/Judgementall_Hai_Kya_poster.jpg,Following the story of two quirky individuals whose lives pivot between reality and illusions.,6,26-07-2019
Chicken Curry Law,Drama,https://upload.wikimedia.org/wikipedia/en/thumb/4/4d/Chicken_Curry_Law_Poster.jpg/220px-Chicken_Curry_Law_Poster.jpg,Maya a foreigner who comes to India for her career gets kidnapped and raped by two politically influential men Makiya and Nana. She is left on the streets of Mumbai half naked by them. She is helped by Satya Deshmukh  a local social activist. Satya Deshmukh helps Maya find Sitapati Shukla who fights her case in the court against the political goons. But in every step  Maya is proven wrong and her behaviour is blamed for being raped. With all the drama unfolding  Sitapati tries to find the proof against Makiya and Nana. With an interesting and unexpected climax  will Maya get justice? Ashutosh Rana  Nivedita Bhattacharya  Makarand Deshpande  Zakir Hussain  Aman Verma  and Polish actress  Nataliya Janoszek star in this tale to shatter stereotypical assumptions faced by foreign women in India and upholds our cultural tradition of Atithi Devo Bhava.,6,09-08-2019
Arjun Patiala,Action|Comedy,https://upload.wikimedia.org/wikipedia/en/thumb/8/83/Arjun_Patiala_poster.jpg/220px-Arjun_Patiala_poster.jpg,"Arjun Patiala(Diljit Dosanjh)has recently been initiated into the police service. A man who has spend most of his early life disciplining himself in Judo and getting into the forces now decides its time to take it easy. He's introduced to his loyal ""chita munshi"" who soon turns into a confidant- Onida Singh. ( Varun Sharma) We quickly realise Arjun Patiala's quirks - That he is fond of women  and even fonder of his drink. But his quirky  original and unusual ideas help him reduce the crime rate in the city without even moving a finger. Along the way Arjun falls in love with a firebrand news reporter - Ritu Randhawa (Kriti Sanon) who might pull the curtain on his deeds. A laugh riot film  Arjun Patiala will leave you in splits.These unforgettable characters are definitely here to stay.",4.1,26-07-2019
Jabariya Jodi,Action|Comedy|Drama,https://upload.wikimedia.org/wikipedia/en/9/97/Jabariya_Jodi_poster.jpg,A thug helps kidnap grooms in order to avoid paying out dowries for their upcoming marriage.,4.2,09-08-2019
Pranaam,Action|Crime|Drama,https://upload.wikimedia.org/wikipedia/en/thumb/0/09/Pranaam_poster.jpg/220px-Pranaam_poster.jpg,A peon's son who is an aspiring IAS officer is compelled to change his path leading him to turn into a gangster.,7,09-08-2019
The Sky Is Pink,Drama|Family|Romance,https://upload.wikimedia.org/wikipedia/en/thumb/9/93/The_Sky_Is_Pink.jpg/220px-The_Sky_Is_Pink.jpg,"The Sky Is Pink is the incredible love story of a couple spanning 25 years  told through the lens of their teenage daughter. She is sassy  sardonic  spunky and also...dead. A fact she nonchalantly mentions at the very outset. ""Get over it. It's quite cool actually. You'll see when you get here (which you do know you will right?!)"" Unexpectedly humorous  warm and heart wrenching all at once as the magic of life and beauty of death manifest in one family's unusual  courageous journey in this 100% true story.",6.6,11-10-2019
Mission Mangal,Drama|History,https://upload.wikimedia.org/wikipedia/en/thumb/b/b7/Mission_Mangal.jpg/220px-Mission_Mangal.jpg,Based on true events of the Indian Space Research Organisation (ISRO) successfully launching the Mars Orbiter Mission (Mangalyaan)  making it the least expensive mission to Mars.,6.5,15-08-2019
Saaho,Action|Thriller,https://upload.wikimedia.org/wikipedia/en/6/6b/Saaho_poster.jpg,This action thriller is about a power battle which is taking place in the higher echelons of power unrelated and unconnected episodes occurring in different parts of the globe  Intertwine in an unforeseen manner to a revelation of mind games. The story delves the audience into the game of a brilliant master mind to reveal the true nature of all that are involved. It challenges the perceptions of who is the hunter and who is the hunted.,5.5,30-08-2019
Dream Girl (2019 film),Comedy|Romance,https://upload.wikimedia.org/wikipedia/en/thumb/6/6e/Dream_Girl.png/220px-Dream_Girl.png,Rom-com Movie  directed by Raaj Shaandilyaa  stars Ayushmann Khurrana who plays a 'dream girl'. In every love story  there is always one trying to win the heart of the other  who could be the 'dream girl'.,7.5,13-09-2019
Section 375,Crime|Drama,https://upload.wikimedia.org/wikipedia/en/thumb/9/90/Section_375_poster.jpg/220px-Section_375_poster.jpg,A celebrated Bollywood director Rohan Khurana stands accused by a female member of his crew  Anjali Dangle of having raped her at his residence.,8.4,13-09-2019
The Zoya Factor (film),Comedy|Drama|Romance,https://upload.wikimedia.org/wikipedia/en/thumb/1/1e/The_Zoya_Factor_poster.jpg/220px-The_Zoya_Factor_poster.jpg,Based Anuja Chauhan's novel  Zoya Factor is a rom-com about Zoya  an advertising agent and her relationship with the captain of team India  Nikhil Khoda.,4.1,20-09-2019
Pal Pal Dil Ke Paas,Action|Drama|Romance,https://upload.wikimedia.org/wikipedia/en/thumb/6/66/Pal_Pal_Dil_Ke_Pass_poster.jpg/220px-Pal_Pal_Dil_Ke_Pass_poster.jpg,When video blogger Saher Sethi embarks on a tedious trek with mountaineer Karan Sehgal  sparks are bound to fly. But will their love story blossom despite the odds?,4.6,20-09-2019
Prassthanam,Action|Drama,https://upload.wikimedia.org/wikipedia/en/thumb/e/e7/Prassthanam_poster.jpg/220px-Prassthanam_poster.jpg,A rural politician marries a widow with kids and gains a respectable position and trusts his stepson more than his own in political matters; thus upsetting his son beyond limits.,6,20-09-2019
P Se Pyaar F Se Faraar,Crime|Drama|Romance,https://upload.wikimedia.org/wikipedia/en/7/74/P_Se_Pyaar_F_Se_Faraar_poster.jpg,In Mathura  the ancient city immortalized by the legendary love of Lord Krishna and Radha  two college going kids belonging to different class and caste strata of the North Indian society fall in love. The kind of turbulent and violent reactions that follow between the communities of the said lovers makes the revered city of love turn into the city of extreme hate. The questions are  will a modern day Krishna arise within the warring clans and what all he can do to restore the sanity and sanctity of love. The film is a statement against hate crimes which are taking massive tolls on numerous talented youth of this country.,7.8,18-10-2019
Ghost (2019 film),Horror|Thriller,https://upload.wikimedia.org/wikipedia/en/thumb/b/ba/Ghost_Film_Poster.jpg/220px-Ghost_Film_Poster.jpg,The story of the film follows Karan Khanna  a politician of Indian origin in the United Kingdom  who is accused of killing his wife. He tells his lawyer that a spirit committed the murder and should be tried.,8.7,18-10-2019
Bala (2019 film),Comedy,https://upload.wikimedia.org/wikipedia/en/thumb/9/99/Bala_Film_Poster.jpg/220px-Bala_Film_Poster.jpg,Focuses on a young man Gaurav Rawat aka Bala (Ayushmann Khurrana) plagued with premature baldness and the way he copes with the situation. Revolving around his everyday struggle due to hair loss  the film also explores Bala's relationship with the two women in his life  played by Yami Gautam and Bhumi Pednekar.,8.2,07-11-2019
Yaaram (2019 film),Comedy|Romance,https://upload.wikimedia.org/wikipedia/en/thumb/8/8e/Yaaram_film_poster.jpg/220px-Yaaram_film_poster.jpg,All set for an arranged marriage  Rohit Bajaj is faced with a rather strange request from his Muslim friend Sahil. As per halala  he convinces Rohit to get hitched to his ex-wife  just for him to remarry her. This twisted tale of love turns into a sour dose of betrayal - all this and more  in the name of friendship.,5.7,18-10-2019
Housefull 4,Action|Comedy|Fantasy,https://upload.wikimedia.org/wikipedia/en/thumb/3/3c/Housefull_4_poster.jpg/220px-Housefull_4_poster.jpg,In 1419 Sitamgarh  3 couples are parted away due to an evil conspiracy. 600 hundred years later in 2019 in London  the couples's reincarnations meet again but this time each one of them is marrying the wrong person. How they come to realize about their true love is what forms the crux of the story.,3.3,25-10-2019
Saand Ki Aankh,Biography|Drama,https://upload.wikimedia.org/wikipedia/en/thumb/c/c3/Saand_Ki_Aankh_poster.jpg/220px-Saand_Ki_Aankh_poster.jpg,Both over the age of 60  Chandro Tomar and Prakashi Tomar inspire other women in India when they demonstrate their expert sharpshooting skills.,8.9,25-10-2019
Made in China (2019 film),Comedy|Drama,https://upload.wikimedia.org/wikipedia/en/thumb/3/3e/Made_In_China_poster.jpg/220px-Made_In_China_poster.jpg,Story of Failed Gujarati Businessman  who jumps into unknown world of China to get once in a life time business idea  which will change his life.,6.3,25-10-2019
Ujda Chaman,Comedy,https://upload.wikimedia.org/wikipedia/en/thumb/2/23/Ujda_Chaman_Film_Poster.jpg/220px-Ujda_Chaman_Film_Poster.jpg,Ujda Chaman is about a 30 -year-old bachelor Chaman Kohli  a Hindi lecturer with Premature Balding and in quest of a beautiful wife. After facing several rejections as a prospective groom because of his baldness  Chaman hits rock bottom when an astrologer gives him a deadline to find himself a wife or remain a celibate forever. This leads Chaman on a Funny and emotional roller coaster ride of self-discovery and acceptance.,8.1,01-11-2019
Bypass Road (film),Drama|Thriller,https://upload.wikimedia.org/wikipedia/en/thumb/b/b3/Bypass_Road_Film.jpg/220px-Bypass_Road_Film.jpg,The Story revolves around a young man Vikram (Neil Nitin Mukesh) who is a fashion prodigy. The story is layered with a murder in town.,7.1,08-11-2019
Satellite Shankar,Action|Drama,https://upload.wikimedia.org/wikipedia/en/thumb/2/25/Satellite_Shankar_poster.jpg/220px-Satellite_Shankar_poster.jpg,The extraordinary journey of a soldier that brought a nation together. It stars Sooraj Pancholi and Megha Akash in the lead roles and is directed by Irfan Kamal.,4.6,08-11-2019
